«ВКонтакте» — социальная сеть,https://vk.com/,"Поиск людей по их увлечениям, месту учебы и работы, персональным данным и т. д. Возможность создавать и вступать в группы по интересам, прослушивать музыку и смотреть фильмы онлайн.",500000
Google+ — социальная сеть,https://plus.google.com/,"Возможность создавать круги общения, размещать записи и фотографии и делиться ими с друзьями, родственниками, коллегами и т.д., общаться в групповом чате и проводить видеовстречи, играть.",150000
«Instagram» — социальная сеть,https://www.instagram.com/,"Обмен фотографиями и видеозаписями, возможность делать квадратные снимки и применять к ним фильтры, а также распространять их в ряд других социальных сетей.",120000
«Одноклассники.ru» — социальная сеть,https://ok.ru/,"Развлекательная социальная сеть для общения с друзьями, просмотра фильмов и сериалов, прослушивания музыки и многого другого.",90000
«Linkedin» — профессиональная сеть,https://www.linkedin.com/,"Возможность создания личной анкеты с указанием опыта работы и достижений в своей профессии. Поиск потенциальных клиентов, партнеров, специалистов; общение в профессиональных группах.",54000
Мой мир@Mail.ru — социальная сеть,https://my.mail.ru/,"Возможность искать одноклассников, однокурсников, коллег по работе; создавать сообщества, обмениваться сообщениями, подарками, читать блоги, отвечать на вопросы и др.",24000
«Хабрахабр» — социальное СМИ об IT,https://habrahabr.ru/,"Публикации в коллективном и персональном блогах, дискуссии в группах, подкасты на тему интернета, разработки программ, «железа», телекоммуникаций и т.д. Поиск материалов по тегам.",12000
«Adme.ru» — сайт о творчестве,https://www.adme.ru/,"Обзоры и новости, посвящённые рекламному креативу и пиару. Статьи о дизайне, искусстве, путешествиях, психологии и пр. Подборка видео.",8200
«MySpace» — интернет-сообщество,https://myspace.com/,"Возможность создавать персональные профили, вести блоги, размещать фото- и видеоматериалы, а также прослушивать аудиотреки популярных исполнителей. (на англ. яз.)",7400
«Steamcommunity.com» — сообщество Steam,http://steamcommunity.com/,"Коллекция фанатского и официального контента для игр и программ в Steam: скриншоты, иллюстрации, видео, а также новости, руководства и обзоры.",6200
«Newsland» — новостная социальная сеть,https://newsland.com/,"Обсуждение актуальных материалов из СМИ и блогов, отобранных пользователями.",5800
«Луркоморье» — неформальная энциклопедия,https://lurkmore.to/,Справочник интернет-субкультур: определения понятий и терминологии (свободное редактирование).,5800
«Behance»— сервис для людей творческих профессий,https://www.behance.net/,"Платформа для демонстрации работ иллюстраторов, дизайнеров, фотографов, операторов, визажистов и пр. Поиск проектов по автору, области творчества, региону и другим параметрам. База вакансий.",5400
«Фишки.нет» — юмористический портал,https://fishki.net/,"Коллекция юмористических фото, демотиваторов, прикольных историй и анекдотов, эротических фотографий, программ, музыки и пр.",5300
«ЯПлакалъ» — сообщество любителей развлечений,http://www.yaplakal.com/,"Приколы, картинки, анекдоты, юмор.",5100
«Twitch» — игровой видеостриминг,https://www.twitch.tv/,"Прямые трансляции прохождения пользователями видеоигр. Подбор видеопотоков по каналам и популярности. Чат. Инструкции по загрузке видео, устранению неисправностей и пр.",4800
«Nsportal.ru» — образовательная социальная сеть,https://nsportal.ru/,"Возможность для школьных учителей, воспитателей, преподавателей вузов создавать свои мини-сайты, вести блоги и сообщества, размещать материалы для подготовки к занятиям, разрабатывать авторские курсы.",4800
«Eg.ru» — газета,http://www.eg.ru/,Статьи развлекательного характера об известных людях (избранные материалы из «Экспресс-газеты» и «Экспресс-газеты — Москва»).,4400
«Vc.ru» — новости о бизнесе и технологиях,https://vc.ru/,"Обзор стартапов, интересных тем из Facebook, «Вконтакте» и др. социальных сетей; публикации о SMM, скандалы в интернете. Вакансии проектов.",4300
«LiveLib» — социальная сеть любителей книг,https://www.livelib.ru/,"Литературные обзоры и рецензии. Сервис статистики: популярные книги, авторы. Информация о последних событиях и новинках книжного мира. Форум, блоги.",4100
«Facebook» — международная социальная сеть,https://en-gb.facebook.com/,"Возможность общаться с друзьями, знакомыми и коллегами, загружать свои фотографии и видео; публиковать заметки; размещать ссылки; создавать группы по интересам.",4100
«Foursquare» — геолокационная социальная сеть,https://ru.foursquare.com/,"Возможность отмечать своё местонахождение в различных заведениях и оповещать об этом своих друзей, исследовать новые места, оставлять свои отзывы.",4000
"«Stopgame.ru» — коды, секреты и прохождения игр",https://stopgame.ru/,Архив информации в помощь геймеру. Поиск кодов. Форум.,3500
«Last.fm» — музыкальная социальная сеть,http://www.lastfm.ru/,"Возможность загружать и слушать музыку, общаться в сообществах, посвященных различным исполнителям. Рейтинги. Календарь и обзор событий. Утилита для скробблинга музыки.",3300
«Триникси.ру» — развлекательный портал,http://trinixy.ru/,"Смешные картинки и приколы, анекдоты и истории, flash-мультфильмы, видео и др.",3300
«Пикабу.ру» — развлекательное сообщество,https://pikabu.ru/,"Рассказы, интересные ссылки, фотографии, картинки и анекдоты, размещенные пользователями.",3300
«Exler.ru» — страница Алекса Экслера,https://www.exler.ru/,"Юмористические рассказы и повести автора, заметки о путешествиях, компьютерный юмор. Обзоры техники, кинорецензии, баннизмы. Форум, блог. Архив материалов по разделам.",3200
«D3.ru» — сообщество юмора и сплетен,https://d3.ru/,"Новости, шутки и интересности, обнаруженные пользователями в сети. Обсуждения с другими посетителями сайта.",3000
«PlayGround» — игровой портал,http://www.PlayGround.ru/,"Новости игр, описания и советы по прохождению. Поиск по типу игры и названию. Демонстрационные ролики. Сервер Quake, Counter-Strike, Neverwinter Nights и др.",2900
«Привет!ру» — социальная сеть,http://match.privet.ru/,"Возможность познакомиться с новыми людьми, найти одноклассников, создать блог, публиковать фото и видео и др.",2800
«Психологос»— энциклопедия практической психологии,http://www.psychologos.ru/,"Редактируемые профессиональными психологами статьи о психологических методиках, тестах, а также о психотерапии, самосовершенствовании и т.д.",2800
«Сплетник» — сайт о знаменитостях и светской жизни,http://www.spletnik.ru/,Новости отечественного и зарубежного шоу-бизнеса. Хроника светской жизни. Блоги.,2700
«Дневник» — школьная образовательная сеть,https://dnevnik.ru/,"Возможность составлять расписания уроков, вести электронный журнал или дневник, составлять отчеты о выполнении заданий и др. Общение учителей и учеников. Заявка на подключение.",2700
Анекдоты из России,https://www.anekdot.ru/,"Cвежие анекдоты и истории, непристойные и смешные стишки, афоризмы, цитаты и карикатуры. Архив выпусков с возможностью поиска. Рейтинг и топ100. Коллекция ссылок на юмор в Сети.",2700
«Professionali.ru» — деловая сеть,https://Professionali.ru/,"Поиск специалистов, партнёров по бизнесу, идей, работы. Возможность общаться в профессиональных и корпоративных сообществах, получать ответы на вопросы и обсуждать деловые предложения.",2600
«Дом солнца» — эзотерический портал,https://www.SunHome.ru/,"Материалы о религиозных течениях, магии, психологии и философии и проч.",2600
«Фактрум» — познавательный блог,https://www.factroom.ru/,"Коллекция занимательных фактов о природе, человеке и обществе, научных открытиях, изобретениях и прочем. Фотографии удивительных феноменов и объектов. Рассказы о жизни в других странах.",2500
«Playcast.ru» — портал плэйкастов,http://www.playcast.ru/,"Возможность соединять в единое произведение тексты, картинки и музыку, отправлять их по электронной почте и интернет-мессенджеры или хранить в галерее. Галерея плэйкастов и файлов. Конкурсы, рейтинги.",2400
«Time Out» — развлекательный журнал,http://www.TimeOut.ru/,"Афиши кинотеатров, клубов, концертных площадок, театров, мероприятий для детей и др. Гид по ресторанам, салонам красоты. Новости культурной жизни, обзоры и интервью.",2400
«DTF» — новости игровой индустрии,https://dtf.ru/,"Материалы для разработчиков и издателей игр: форумы, общение с звездами отечественного геймдева, материалы по гейм-дизайну, программированию игр, управлению командами разработчиков и др.",2300
Авторский сайт Леонида Каганова,http://lleo.me/,"Все литературные произведения автора: юмор и серьёзная литература. Сценарии и песни в MP3 для телепередач «О.С.П.-студия», «Назло рекордам» и др. Программка, сочиняющая стихи. Дизайн, картинки автора.",2200
«Starhit.ru» — портал о жизни звезд,http://www.starhit.ru/,"Материалы журнала Андрея Малахова «СтарХит»: новости шоу-бизнеса и светской жизни, интервью со звездами, фоторепортажи.",2200
«Bash.im» — цитатник Рунета,http://bash.im/,"Цитаты, добавленные пользователями. Рейтинг цитат.",2200
«Etoday» — информационный интернет-журнал,http://www.etoday.ru/,"Интересные события из мира знаменитостей кино, музыки, моды и спорта; актуальные новости технологий и архитектуры, дизайна и рекламы.",2100
«Absolute games» — игровой портал,http://www.ag.ru/,"Игровые обзоры и рецензии. Коллекции читов, кодов и прохождений. Новости индустрии компьютерных игр. Возможность скачать патчи, демо-версии игр. Форум.",2100
